year,location,site,plot,col,row,block,cult,resis,seed_trt,yield_kg_ha,SCN_initial,SCN_45_dap,SCN_final
2023,NCARS,2,501,1,13,5,P34A59PR,Peking,ILeVO,5998.7,6440,6960,5240
2023,NCARS,2,502,1,14,5,P34A59PR,Peking,BASE,5453.975,6200,4560,2600
2023,NCARS,2,503,1,15,5,P27A26PR,Peking,ILeVO,5884.375,4080,5720,2680
2023,NCARS,2,504,1,16,5,P27A26PR,Peking,BASE,6099.575,3840,1160,800
2023,NCARS,2,505,1,17,5,P28A83PR,PI88788,ILeVO,6435.825,2640,1680,960
2023,NCARS,2,506,1,18,5,P28A83PR,PI88788,BASE,5783.5,5040,6680,3080
2023,NCARS,2,507,1,19,5,P31A48PR,Peking,ILeVO,6180.275,7360,1200,520
2023,NCARS,2,508,1,20,5,P31A48PR,Peking,BASE,6200.45,6400,1800,2040
2023,NCARS,2,509,1,21,5,P30A46PR,PI88788,BASE,5575.025,8960,2400,840
2023,NCARS,2,510,1,22,5,P30A46PR,PI88788,ILeVO,5675.9,6480,2720,720
2023,NCARS,2,511,1,23,5,P34A65PR,PI88788,ILeVO,5850.75,4880,1120,720
2023,NCARS,2,512,1,24,5,P34A65PR,PI88788,BASE,6207.175,9440,2040,1960
2023,NCARS,2,601,2,13,6,P30A46PR,PI88788,BASE,5016.85,7400,760,9240
2023,NCARS,2,602,2,14,6,P30A46PR,PI88788,ILeVO,5326.2,8680,4480,1480
2023,NCARS,2,603,2,15,6,P31A48PR,Peking,BASE,6005.425,13520,1280,2600
2023,NCARS,2,604,2,16,6,P31A48PR,Peking,ILeVO,6079.4,8240,2120,480
2023,NCARS,2,605,2,17,6,P34A59PR,Peking,BASE,5911.275,8360,3320,4160
2023,NCARS,2,606,2,18,6,P34A59PR,Peking,ILeVO,5991.975,8680,4000,760
2023,NCARS,2,607,2,19,6,P34A65PR,PI88788,BASE,6160.1,5480,2040,2440
2023,NCARS,2,608,2,20,6,P34A65PR,PI88788,ILeVO,6308.05,4200,3080,1840
2023,NCARS,2,609,2,21,6,P28A83PR,PI88788,BASE,5891.1,7960,4840,1760
2023,NCARS,2,610,2,22,6,P28A83PR,PI88788,ILeVO,6065.95,9280,7960,2600
2023,NCARS,2,611,2,23,6,P27A26PR,Peking,ILeVO,5736.425,10920,4280,1960
2023,NCARS,2,612,2,24,6,P27A26PR,Peking,BASE,5770.05,13800,2240,1760
2023,NCARS,2,701,3,13,7,P30A46PR,PI88788,BASE,4922.7,8040,7280,22280
2023,NCARS,2,702,3,14,7,P30A46PR,PI88788,ILeVO,4956.325,8000,5560,3040
2023,NCARS,2,703,3,15,7,P34A59PR,Peking,BASE,5380,9520,7680,9920
2023,NCARS,2,704,3,16,7,P34A59PR,Peking,ILeVO,5823.85,19200,10200,2120
2023,NCARS,2,705,3,17,7,P28A83PR,PI88788,ILeVO,5790.225,11280,10120,7120
2023,NCARS,2,706,3,18,7,P28A83PR,PI88788,BASE,5279.125,9600,12880,3120
2023,NCARS,2,707,3,19,7,P34A65PR,PI88788,BASE,6092.85,12360,6360,4000
2023,NCARS,2,708,3,20,7,P34A65PR,PI88788,ILeVO,5897.825,11440,6600,7960
2023,NCARS,2,709,3,21,7,P27A26PR,Peking,ILeVO,6308.05,15240,6000,5200
2023,NCARS,2,710,3,22,7,P34A59PR,Peking,BASE,6328.225,2400,1440,4800
2023,NCARS,2,711,3,23,7,P31A48PR,Peking,BASE,5561.575,6560,8320,4120
2023,NCARS,2,712,3,24,7,P31A48PR,Peking,ILeVO,6119.75,4080,6640,6040
2023,NCARS,2,801,4,13,8,P28A83PR,PI88788,ILeVO,4983.225,8880,7520,600
2023,NCARS,2,802,4,14,8,P28A83PR,PI88788,BASE,4176.225,10680,2120,6440
2023,NCARS,2,803,4,15,8,P34A65PR,PI88788,ILeVO,5057.2,5760,13720,25160
2023,NCARS,2,804,4,16,8,P34A65PR,PI88788,BASE,5010.125,20680,7720,13920
2023,NCARS,2,805,4,17,8,P30A46PR,PI88788,ILeVO,4788.2,8200,6440,14240
2023,NCARS,2,806,4,18,8,P30A46PR,PI88788,BASE,4041.725,14480,10560,13240
2023,NCARS,2,807,4,19,8,P27A26PR,Peking,ILeVO,5561.575,19680,1160,6200
2023,NCARS,2,808,4,20,8,P34A59PR,Peking,BASE,5554.85,7320,4720,5840
2023,NCARS,2,809,4,21,8,P34A59PR,Peking,ILeVO,5823.85,3040,9920,18400
2023,NCARS,2,810,4,22,8,P34A59PR,Peking,BASE,5810.4,5800,9040,13720
2023,NCARS,2,811,4,23,8,P28A83PR,PI88788,BASE,6355.125,3480,3040,7400
2023,NCARS,2,812,4,24,8,P31A48PR,Peking,ILeVO,5682.625,10920,4160,13000
